city,latitude,longitude,country,population
Kolda,12.8958,-14.9408,Senegal,62258
Santarem,39.2369,-8.685,Portugal,62200
Suresnes,48.87,2.22,France,49145
Chornomors'k,46.3017,30.6569,Ukraine,59800
Bobigny,48.9106,2.4397,France,53640
Puerto Limon,10.0022,-83.084,Costa Rica,61072
Madang,-5.2248,145.7853,Papua New Guinea,62023
Lytkarino,55.5833,37.8833,Russia,58606
Rafael Calzada,-34.7833,-58.3667,Argentina,57351
Pico Rivera,33.9902,-118.0888,United States,62027
Kaposvar,46.3667,17.7833,Hungary,61441
North Bergen,40.7938,-74.0242,United States,61970
Montebello,34.0155,-118.1108,United States,61954
Caico,-6.4596,-37.1,Brazil,54934
Bamyan,34.8167,67.8167,Afghanistan,61863
Medenine,33.4,10.4167,Tunisia,61705
Portugalete,43.3194,-3.0196,Spain,45766
Rovaniemi,66.5014,25.7347,Finland,61763
Yala,6.5397,101.2811,Thailand,61250
Giurgiu,43.9,25.9667,Romania,61353
Chambery,45.57,5.9118,France,58919
Samut Sakhon,13.5486,100.2775,Thailand,60103
Janauba,-15.8025,-43.3089,Brazil,56572
Seinajoki,62.7903,22.8403,Finland,61530
Ruhengeri,-1.4944,29.6417,Rwanda,59333
Suileng,47.246,127.106,China,57789
National City,32.6654,-117.0983,United States,61394
Guanambi,-14.2233,-42.7814,Brazil,58877
Benslimane,33.6122,-7.1211,Morocco,57101
Koja,26.3643,127.8328,Japan,58658
Ariquemes,-9.9396,-63.08,Brazil,58096
Coconut Creek,26.2803,-80.1842,United States,61248
Ben Tre,10.2333,106.3833,Vietnam,59442
Gaalkacyo,6.7697,47.4308,Somalia,61200
Limerick,52.6653,-8.6238,Ireland,58319
Yopal,5.347,-72.406,Colombia,61029
Lorient,47.75,-3.36,France,57149
Trang,7.5561,99.6114,Thailand,60591
Vacaria,-28.5122,-50.9339,Brazil,56765
Melo,-32.3595,-54.18,Uruguay,55494
Sao Gabriel,-30.3364,-54.32,Brazil,55434
Oyem,1.6,11.5667,Gabon,60685
Lokoja,7.8004,6.7399,Nigeria,60579
Juigalpa,12.0833,-85.4,Nicaragua,60583
Sao Jose de Ribamar,-2.55,-44.07,Brazil,55265
Vaxjo,56.8837,14.8167,Sweden,59600
La Habra,33.9278,-117.9513,United States,60513
The Hammocks,25.67,-80.4483,United States,60473
Malden,42.4305,-71.0576,United States,60470
Banfora,10.6308,-4.7589,Burkina Faso,60288
San Pedro,25.7589,-102.9844,Mexico,53688
Hamura,35.7672,139.3111,Japan,54874
Swidnica,50.8438,16.4886,Poland,57761
Uige,-7.62,15.05,Angola,60008
Estancia,-11.2683,-37.4383,Brazil,55654
Arcoverde,-8.42,-37.07,Brazil,57163
Zushi,35.2956,139.5803,Japan,56936
Temascalcingo,19.9147,-100.0036,Mexico,58169
Hereford,52.0565,-2.716,United Kingdom,55955
Mbanza Kongo,-6.2667,14.25,Angola,60182
Veszprem,47.1,17.9167,Hungary,59738
Itapipoca,-3.4995,-39.58,Brazil,55784
Ellesmere Port,53.279,-2.897,United Kingdom,55715
Serrinha,-11.6642,-39.0075,Brazil,56829
South Whittier,33.9336,-118.0311,United States,60096
Etchojoa,26.8667,-109.65,Mexico,56129
West Allis,43.0068,-88.0296,United States,59890
Ban Bang Kaeo,13.6371,100.6636,Thailand,56949
Uzice,43.85,19.85,Serbia,59747
Fountainebleau,25.7723,-80.3458,United States,59833
Taylorsville,40.657,-111.9493,United States,59805
Itanagar,27.1,93.62,India,59490
Romita,20.8708,-101.5169,Mexico,51825
Suhareke,42.38,20.8219,Kosovo,59722
Beja,36.7304,9.19,Tunisia,59567
Klimovsk,55.3667,37.5333,Russia,56239
Bungoma,0.5666,34.5666,Kenya,55857
San Jose Iturbide,21,-100.3833,Mexico,54661
Monterey Park,34.0497,-118.1326,United States,59669
Concordia,-27.2342,-52.0278,Brazil,55367
Hod HaSharon,32.15,34.8833,Israel,56659
Puteaux,48.885,2.2389,France,44645
Rodos,36.4412,28.2225,Greece,56969
Formiga,-20.4644,-45.4264,Brazil,56404
Samannud,30.9667,31.25,Egypt,57177
Merida,38.9158,-6.3333,Spain,59335
Gardena,33.8944,-118.3073,United States,59329
Bekescsaba,46.6833,21.0833,Hungary,58996
Cupertino,37.3168,-122.0465,United States,59276
La Mesa,32.7703,-117.0204,United States,59249
Brookline,42.3243,-71.1408,United States,59234
Dzerzhinskiy,55.6333,37.85,Russia,55669
Artemisa,22.8136,-82.7633,Cuba,59130
San Buenaventura,19.2641,-99.6746,Mexico,48037
Actopan,20.267,-98.933,Mexico,56429
Kitgum,3.3004,32.87,Uganda,56891
Yevlax,40.6172,47.15,Azerbaijan,59036
Viedma,-40.8,-63,Argentina,59122
Cerro de Pasco,-10.6864,-76.2625,Peru,58899
Kabinda,-6.1296,24.48,Congo (Kinshasa),59004
Braintree,51.878,0.55,United Kingdom,53477
Tacuarembo,-31.71,-55.98,Uruguay,54277
Clamart,48.8014,2.2628,France,52971
Coari,-4.085,-63.1414,Brazil,53305
Crateus,-5.1783,-40.6775,Brazil,52933
Krusevac,43.5833,21.3267,Serbia,58745
Margate,26.2466,-80.2119,United States,58796
Qiryat Ata,32.8,35.1,Israel,55464
Carson City,39.1512,-119.7474,United States,58756
Sevran,48.9333,2.5333,France,51016
Mandapeta,16.87,81.93,India,56063
Evora,38.5667,-7.9,Portugal,55620
Port Coquitlam,49.2625,-122.7811,Canada,58612
Rosh Ha`Ayin,32.0833,34.95,Israel,56300
Middletown,41.4459,-74.4236,United States,58592
Chelles,48.8833,2.6,France,54917
Bondoukou,8.04,-2.8,Côte D’Ivoire,58297
Kendale Lakes,25.7081,-80.4078,United States,58395
San Fernando,10.2833,-61.4667,Trinidad And Tobago,55419
Meaux,48.9603,2.8883,France,54991
Novohrad-Volynskyi,50.5833,27.6333,Ukraine,56288
Huamantla,19.3133,-97.9228,Mexico,51996
Chania,35.5167,24.0167,Greece,53910
Union,40.6953,-74.2697,United States,58158
Vidin,43.9853,22.8764,Bulgaria,58018
White Plains,41.022,-73.7549,United States,58109
Huehuetenango,15.3147,-91.4761,Guatemala,58000
Sartrouville,48.9372,2.1644,France,51967
Jefferson City,38.5676,-92.1759,United States,58025
Zalaegerszeg,46.8392,16.8511,Hungary,57403
Hendon,51.5837,-0.2252,United Kingdom,52972
Arcadia,34.1342,-118.0373,United States,57939
Hilden,51.1714,6.9394,Germany,55764
Slavonski Brod,45.1553,18.0144,Croatia,56769
Magong,23.5667,119.5833,Taiwan,56435
Jocotitlan,19.7072,-99.7867,Mexico,55403
Umm el Fahm,32.5158,35.1525,Israel,55300
Alfortville,48.805,2.4239,France,43881
Samut Prakan,13.6004,100.5964,Thailand,51309
Nuevo Casas Grandes,30.4167,-107.9167,Mexico,55553
Kidderminster,52.3885,-2.249,United Kingdom,55530
Lipjan,42.53,21.1386,Kosovo,57605
Zumpango,19.7969,-99.0992,Mexico,50742
Crosby,53.4872,-3.0343,United Kingdom,50044
Al Mafraq,32.2833,36.2333,Jordan,57118
Hamilton,55.777,-4.039,United Kingdom,54230
Altrincham,53.3838,-2.3547,United Kingdom,52419
Tamiami,25.7556,-80.4016,United States,57514
Huntington Park,33.98,-118.2167,United States,57509
Mafeteng,-29.8167,27.25,Lesotho,57059
Medford,42.4234,-71.1087,United States,57341
Chinhoyi,-17.35,30.2,Zimbabwe,56794
Gumushane,40.4597,39.4778,Turkey,57269
Pithapuram,17.1167,82.2667,India,54859
Araguaina,-7.19,-48.21,Brazil,50444
Belize City,17.4986,-88.1886,Belize,57169
Acatzingo,18.9817,-97.7822,Mexico,52078
Barri,51.405,-3.27,United Kingdom,51502
Adrar,27.8742,-0.2939,Algeria,56910
Biel/Bienne,47.1372,7.2472,Switzerland,54456
Bac Giang,21.2731,106.1947,Vietnam,53728
Ushuaia,-54.8072,-68.3044,Argentina,56956
Royal Leamington Spa,52.292,-1.537,United Kingdom,49662
Jelgava,56.6522,23.7244,Latvia,55972
Zalau,47.1911,23.0572,Romania,56202
Dunfermline,56.0719,-3.4393,United Kingdom,54050
Itacoatiara,-3.1431,-58.4442,Brazil,51509
Sfantu-Gheorghe,45.8636,25.7875,Romania,56006
Mugla,37.2167,28.3667,Turkey,56619
Llanelli,51.684,-4.163,United Kingdom,49591
Tandag,9.0667,126.1833,Philippines,56364
Phra Nakhon Si Ayutthaya,14.355,100.565,Thailand,52952
Kranj,46.2389,14.3556,Slovenia,56081
Salama,15.1052,-90.316,Guatemala,56359
Zouerate,22.7344,-12.4725,Mauritania,56345
Trencin,48.8942,18.0406,Slovakia,55593
Rahovec,42.3994,20.6547,Kosovo,56208
Vaslui,46.6383,27.7292,Romania,55407
Saint-Quentin,49.8486,3.2864,France,53816
Castelo Branco,39.823,-7.4931,Portugal,56109
Rio Tinto,41.1833,-8.5667,Portugal,50713
Rio Verde,-17.8196,-50.93,Brazil,48318
Sankt Polten,48.2,15.6167,Austria,55514
Vigan,17.5747,120.3869,Philippines,53879
Weymouth,50.613,-2.457,United Kingdom,53068
Santa Rosa de Copan,14.7667,-88.7833,Honduras,56000
Halmstad,56.6718,12.8556,Sweden,55657
Barra do Garcas,-15.8796,-52.26,Brazil,52398
Florida,-34.5167,-58.5,Argentina,48158
Ohrid,41.1169,20.8019,Macedonia,55749
Greenford,51.5299,-0.3488,United Kingdom,46787
Ponte Nova,-20.4164,-42.9086,Brazil,48187
Matamoros,25.533,-103.25,Mexico,48511
Guliston,40.4833,68.7833,Uzbekistan,55600
Rowley Regis,52.48,-2.06,United Kingdom,50257
Bootle,53.4457,-2.9891,United Kingdom,51394
Francisco I. Madero,25.7753,-103.2731,Mexico,50084
New Brunswick,40.487,-74.445,United States,55676
Aloha,45.492,-122.8726,United States,55492
Lautoka,-17.6242,177.4528,Fiji,52220
Senhor do Bonfim,-10.4614,-40.1894,Brazil,48471
Itaberaba,-12.5275,-40.3069,Brazil,47301
Fountain Valley,33.7105,-117.9514,United States,55357
Villagran,20.517,-100.983,Mexico,45941
Massy,48.7309,2.2713,France,50833
Paignton,50.4353,-3.5625,United Kingdom,49021
Lampang,18.3,99.5,Thailand,55044
Lancaster,54.047,-2.801,United Kingdom,52234
Vranje,42.5542,21.8972,Serbia,55138
Abu Qir,31.3167,30.0667,Egypt,37997
Ithaca,42.4442,-76.5032,United States,55137
Chiapa de Corzo,16.7083,-93.0169,Mexico,45077
Madinat Hamad,26.1128,50.5139,Bahrain,52700
Oak Lawn,41.7139,-87.7528,United States,55022
Quixada,-4.9714,-39.0153,Brazil,49328
Padangpanjang,-0.45,100.4167,Indonesia,52422
Mikkeli,61.6875,27.2736,Finland,54665
Corbeil-Essonnes,48.6139,2.482,France,51292
Malisheve,42.4828,20.7458,Kosovo,54613
Breves,-1.6822,-50.4803,Brazil,47164
Busia,0.4669,34.09,Uganda,47100
Morden,51.4015,-0.1949,United Kingdom,48233
Catford,51.4452,-0.0207,United Kingdom,44905
Folkestone,51.081,1.166,United Kingdom,46698
Berwyn,41.8433,-87.7909,United States,54391
Charikar,35.0183,69.1679,Afghanistan,53676
Ibiza,38.9089,1.4328,Spain,49783
Shiraoka,36.0189,139.6769,Japan,52094
Prachuap Khiri Khan,11.8067,99.7956,Thailand,54018
Korce,40.6167,20.7667,Albania,51152
Rosemead,34.0689,-118.0823,United States,54058
Tulcan,0.8117,-77.7186,Ecuador,53558
Irvington,40.7242,-74.2318,United States,54035
Paramount,33.8976,-118.1652,United States,53955
Louangphabang,19.8931,102.1381,Laos,53792
Stratford,51.5423,-0.0026,United Kingdom,51387
Iganga,0.6092,33.4686,Uganda,45024
Sakon Nakhon,17.1564,104.1456,Thailand,53618
Cagnes-sur-Mer,43.6644,7.1489,France,50928
Sutton in Ashfield,53.125,-1.261,United Kingdom,49023
Pursat,12.5337,103.9167,Cambodia,52476
Macclesfield,53.2581,-2.1274,United Kingdom,51482
Whangarei,-35.725,174.3236,New Zealand,52600
Eger,47.8989,20.3747,Hungary,52898
Nes Ziyyona,31.9333,34.8,Israel,50200
Santiago Teyahualco,19.6667,-99.1333,Mexico,47547
Marondera,-18.1833,31.55,Zimbabwe,52283
Wellingborough,52.2939,-0.6964,United Kingdom,49128
Moskovskiy,55.5991,37.355,Russia,50167
Rosny-sous-Bois,48.8667,2.4833,France,46207
Maha Sarakham,16.1772,103.3008,Thailand,52866
Revere,42.4192,-71.0036,United States,53073
Barra do Corda,-5.5031,-45.2369,Brazil,48901
Helena,46.5965,-112.0202,United States,52936
Takeo,10.9833,104.7833,Cambodia,52000
Barnet,51.6444,-0.1997,United Kingdom,47359
Vejle,55.709,9.535,Denmark,51177
Kirkcaldy,56.1107,-3.1674,United Kingdom,50180
Aspen Hill,39.0928,-77.0823,United States,52807
Leopoldina,-21.5319,-42.6431,Brazil,46742
Cumbernauld,55.945,-3.994,United Kingdom,50430
Valladolid,20.6894,-88.2017,Mexico,48973
West New York,40.7856,-74.0093,United States,52723
Mangochi,-14.4781,35.2645,Malawi,51429
Hoboken,40.7453,-74.0279,United States,52677
Mongu,-15.2796,23.12,Zambia,52534
Alytus,54.4014,24.0492,Lithuania,51534
Choisy-le-Roi,48.763,2.409,France,45331
Myrnohrad,48.3022,37.2614,Ukraine,50360
Aracati,-4.5617,-37.7697,Brazil,44293
Iwakura,35.2833,136.8667,Japan,47839
Boujad,32.76,-6.4,Morocco,46893
Oak Park,41.8872,-87.7899,United States,52381
Batley,53.716,-1.627,United Kingdom,49448
Jinotepe,11.85,-86.2,Nicaragua,52175
Ain El Aouda,33.8111,-6.7922,Morocco,49816
Takahama,34.9276,136.9877,Japan,48561
Elmshorn,53.7547,9.6536,Germany,49883
Floriano,-6.7669,-43.0225,Brazil,48587
Bang Bua Thong,13.9099,100.4263,Thailand,50141
Lamia,38.8972,22.4311,Greece,52006
Noisy-le-Sec,48.8894,2.4503,France,44136
Chake Chake,-5.2395,39.77,Tanzania,49959
Lankaran,38.7536,48.8511,Azerbaijan,51300
Suzukawa,35.3731,139.3842,Japan,48379
Vila Real,41.3002,-7.7398,Portugal,51850
Ocosingo,16.9072,-92.0961,Mexico,41878
Campo Belo,-20.8896,-45.28,Brazil,47491
Cameta,-2.2396,-49.51,Brazil,45200
Vaulx-en-Velin,45.7768,4.9186,France,49658
Itamaraju,-17.0392,-39.5311,Brazil,47628
Pen-y-Bont ar Ogwr,51.5072,-3.5784,United Kingdom,49404
Teplice,50.6333,13.8167,Czechia,49731
Ramos Arizpe,25.55,-100.9667,Mexico,48228
Jihlava,49.4003,15.5906,Czechia,51216
Ratnapura,6.693,80.386,Sri Lanka,47832
Jendouba,36.5,8.75,Tunisia,51408
Sombor,45.78,19.12,Serbia,51471
Campobasso,41.563,14.656,Italy,50762
Vryburg,-26.95,24.7333,South Africa,49588
Eltham,51.451,0.052,United Kingdom,48964
Levittown,40.7241,-73.5125,United States,51539
Surbiton,51.394,-0.307,United Kingdom,45132
Perth Amboy,40.5203,-74.2724,United States,51390
Ashton,53.4897,-2.0952,United Kingdom,45198
Tizimin,21.1425,-88.1647,Mexico,46971
Seguela,7.9611,-6.6731,Côte D’Ivoire,51157
Placentia,33.8807,-117.8553,United States,51233
Stretford,53.4466,-2.3086,United Kingdom,46910
Sar-e Pul,36.2214,65.9278,Afghanistan,51075
Komotini,41.1167,25.4,Greece,50990
Camocim,-2.9022,-40.8411,Brazil,44481
Loreto,22.2667,-101.9833,Mexico,43411
Larnaca,34.9233,33.6305,Cyprus,48947
Capanema,-1.1958,-47.1808,Brazil,47766
Bodupal,17.4139,78.5783,India,43692
Longchamps,-34.8596,-58.387,Argentina,47622
Jutiapa,14.29,-89.9,Guatemala,50681
Kasuga,33.6108,130.4806,Japan,47554
Sisophon,13.5833,102.9833,Cambodia,50302
Aliso Viejo,33.5792,-117.7289,United States,50887
Skenderaj,42.7467,20.7886,Kosovo,50858
Jarash,32.2723,35.8914,Jordan,50745
Harasta,33.5586,36.365,Syria,45974
Puttalam,8.033,79.826,Sri Lanka,45661
Welwyn Garden City,51.8062,-0.1932,United Kingdom,46619
Guaxupe,-21.3053,-46.7128,Brazil,47889
Gbadolite,4.275,21,Congo (Kinshasa),50493
La Reja,-34.6394,-58.8283,Argentina,47839
West Bridgford,52.932,-1.127,United Kingdom,47109
Gennevilliers,48.9333,2.3,France,46907
Wheaton,39.0492,-77.0572,United States,50459
Goianesia,-15.3175,-49.1175,Brazil,47883
Yeovil,50.9452,-2.637,United Kingdom,45000
Beckenham,51.408,-0.022,United Kingdom,46844
Gracias,14.5833,-88.5833,Honduras,50256
Ma`an,30.192,35.736,Jordan,50350
Cojutepeque,13.7167,-88.9333,El Salvador,48411
Selibe Phikwe,-21.9667,27.9167,Botswana,49724
Villa Alsina,-34.6667,-58.4167,Argentina,41155
Bom Jesus da Lapa,-13.2495,-43.44,Brazil,40691
Plainfield,40.6154,-74.4157,United States,50317
Garges-les-Gonesse,48.9728,2.4008,France,42728
North Bethesda,39.0393,-77.1191,United States,50262
Livry-Gargan,48.9192,2.5361,France,44437
Bagneux,48.7983,2.3137,France,40918
Tlalmanalco,19.2044,-98.8025,Mexico,46130
Moyobamba,-6.0333,-76.9667,Peru,50073
Al Kharijah,25.44,30.55,Egypt,49991
Kotel'niki,55.65,37.8667,Russia,46763
Al Balyana,26.2329,31.9993,Egypt,46997
Maun,-19.9833,23.4167,Botswana,49945
Zaranj,30.96,61.86,Afghanistan,49851
La Garenne-Colombes,48.9056,2.2445,France,29169
Odienne,9.5,-7.5667,Côte D’Ivoire,49857
Cheshunt,51.702,-0.035,United Kingdom,44000
Nausori,-18.0244,178.5454,Fiji,47604
Hagere Hiywet,8.9833,37.85,Ethiopia,43920
Cerritos,33.8677,-118.0686,United States,49859
Meudon,48.8123,2.2382,France,45352
Dosso,13.05,3.2,Niger,49750
Kangar,6.4414,100.1986,Malaysia,48898
Al Aaroui,35.0104,-3.0073,Morocco,47599
Country Club,25.9407,-80.3102,United States,49684
Lakewood,41.4824,-81.8008,United States,49678
Coyhaique,-45.5712,-72.0685,Chile,49667
Montana,43.4078,23.225,Bulgaria,49597
Huancavelica,-12.785,-74.9714,Peru,49570
Perth,56.397,-3.437,United Kingdom,46960
Brumado,-14.2036,-41.6653,Brazil,41989
Dollard-des-Ormeaux,45.4833,-73.8167,Canada,49637
Couva,10.4167,-61.45,Trinidad And Tobago,48858
Waterford,52.2583,-7.119,Ireland,48369
Bagnolet,48.8692,2.4181,France,35674
Ramat HaSharon,32.1461,34.8394,Israel,46700
Nelson,-41.2931,173.2381,New Zealand,49300
Mantes-la-Jolie,48.9908,1.7172,France,44299
Wajir,1.75,40.0667,Kenya,45771
Caninde,-4.3589,-39.3117,Brazil,42720
Karlovy Vary,50.2306,12.8725,Czechia,48479
San Isidro,-34.4667,-58.5167,Argentina,43595
Lulea,65.5838,22.1915,Sweden,48749
Florin,38.4832,-121.4042,United States,49132
Piripiri,-4.2733,-41.7769,Brazil,44864
Ayr,55.458,-4.629,United Kingdom,46490
Jose Marmol,-34.7833,-58.3667,Argentina,41109
Jurmala,56.968,23.7704,Latvia,48606
Banbury,52.061,-1.336,United Kingdom,46853
Wokingham,51.41,-0.84,United Kingdom,46745
Moroleon,20.1333,-101.2,Mexico,41909
Cypress,33.8171,-118.0386,United States,49006
Hollister,36.8563,-121.3981,United States,48992
Mao,19.552,-71.075,Dominican Republic,48297
North Highlands,38.6713,-121.3721,United States,48968
Inhumas,-16.3578,-49.4961,Brazil,44058
Rovenky,48.0833,39.3667,Ukraine,46734
Asadabad,34.8742,71.1528,Afghanistan,48400
Bloomfield,40.8098,-74.1868,United States,48810
Tlapa de Comonfort,17.5461,-98.5764,Mexico,37975
Invercargill,-46.429,168.362,New Zealand,48700
Chatillon,48.8,2.29,France,37355
Birendranagar,28.6,81.6333,Nepal,47914
Nueva Loja,0.0844,-76.8911,Ecuador,48562
Krasnoznamensk,55.6,37.0333,Russia,41769
Ceres,37.5953,-120.9625,United States,48706
Puerto Escondido,15.8619,-97.0672,Mexico,45000
Serowe,-22.3833,26.7167,Botswana,48573
Kingston upon Thames,51.4103,-0.2995,United Kingdom,43013
Mandeville,18.0417,-77.5072,Jamaica,48317
Nong Khai,17.8842,102.7467,Thailand,48274
Salekhard,66.5333,66.6333,Russia,48507
Mercedes,-33.25,-58.0319,Uruguay,41974
Parras de la Fuente,25.4403,-102.1792,Mexico,45423
Emiliano Zapata,18.8667,-99.15,Mexico,39702
Bindura,-17.3,31.3333,Zimbabwe,46275
La Courneuve,48.9322,2.3967,France,43054
Gori,41.9817,44.1124,Georgia,48143
Isiolo,0.35,37.5833,Kenya,45989
La Mirada,33.9025,-118.0093,United States,48183
Bastia,42.7008,9.4503,France,45715
El Kef,36.1826,8.7148,Tunisia,47979
Havant,50.85,-0.98,United Kingdom,45826
Talence,44.8,-0.584,France,42606
Inuma,36,139.6239,Japan,44977
Leribe,-28.8734,28.0416,Lesotho,47675
Chalon-sur-Saone,46.7806,4.8528,France,45096
Kanash,55.5167,47.5,Russia,45482
Hinckley,52.5413,-1.3725,United Kingdom,45249
Njombe,-9.3296,34.77,Tanzania,46724
Erith,51.48,0.1778,United Kingdom,45345
New Amsterdam,6.25,-57.5167,Guyana,46874
Karmi'el,32.9,35.2833,Israel,45300
Morley,53.7492,-1.6023,United Kingdom,44440
Hajjah,15.695,43.5975,Yemen,46568
Empalme,27.9617,-110.8125,Mexico,42516
Kokkola,63.8333,23.1333,Finland,47570
Middelburg,51.502,3.61,Netherlands,46485
Covina,34.0903,-117.8817,United States,47450
Bang Kruai,13.8042,100.4755,Thailand,42390
Tepalcatepec,19.1833,-102.85,Mexico,42879
Caluire-et-Cuire,45.7953,4.8472,France,43187
Antelope,38.7153,-121.361,United States,47326
Murzuq,25.9136,13.9336,Libya,47324
Rosso,16.5128,-15.805,Mauritania,47203
Naj` Hammadi,26.05,32.25,Egypt,45038
Charenton-le-Pont,48.8265,2.405,France,30374
Chitre,7.9667,-80.4333,Panama,46191
Salgueiro,-8.0742,-39.1192,Brazil,42152
Badulla,6.9847,81.0564,Sri Lanka,42923
Nagykanizsa,46.4558,16.9975,Hungary,46866
Malakoff,48.8169,2.2944,France,30286
Welling,51.4594,0.1097,United Kingdom,41000
Viti,42.3167,21.35,Kosovo,46987
Boosaaso,11.28,49.18,Somalia,46969
Izucar de Matamoros,18.6,-98.4667,Mexico,41042
Qiryat Ono,32.0636,34.8553,Israel,37791
Castleford,53.716,-1.356,United Kingdom,40210
Santiago,8.1004,-80.9833,Panama,45955
Le Cannet,43.5769,7.0194,France,41471
Fareham,50.85,-1.18,United Kingdom,42210
Kanye,-24.9833,25.35,Botswana,46831
Embu,-0.5333,37.45,Kenya,41092
Choma,-16.8095,26.97,Zambia,46746
Saint-Brieuc,48.5136,-2.7653,France,44372
Aweil,8.7666,27.4,South Sudan,46705
Ostersund,63.1833,14.65,Sweden,46178
Merthyr Tudful,51.743,-3.378,United Kingdom,43820
Stains,48.95,2.3833,France,38720
Rye,41.0076,-73.6872,United States,46636
Trollhattan,58.2671,12.3,Sweden,44543
Valenciennes,50.358,3.5233,France,43336
Mahdia,35.4839,11.0409,Tunisia,45977
Everett,42.4064,-71.0545,United States,46451
Sibenik,43.7339,15.8956,Croatia,46332
Cobija,-11.0183,-68.7537,Bolivia,46267
University,28.0771,-82.4335,United States,46359
Urmston,53.4487,-2.3747,United Kingdom,41825
Antigua Guatemala,14.5567,-90.7337,Guatemala,45669
Nueva Gerona,21.8847,-82.8011,Cuba,46264
Solola,14.773,-91.183,Guatemala,45373
Slobozia,44.5639,27.3661,Romania,45891
Vilvoorde,50.9281,4.4245,Belgium,44015
Penedo,-10.2903,-36.5864,Brazil,42097
Kingswood,51.46,-2.505,United Kingdom,40734
Ararangua,-28.9357,-49.4954,Brazil,43444
Jerada,34.31,-2.16,Morocco,43506
Gbarnga,7.0104,-9.49,Liberia,45835
Alexandria,43.9686,25.3333,Romania,45434
Madinat `Isa,26.1736,50.5478,Bahrain,40000
Frutal,-20.0247,-48.9406,Brazil,40931
Thun,46.759,7.63,Switzerland,43743
Vanves,48.8208,2.2897,France,27729
Buta,2.82,24.74,Congo (Kinshasa),45677
Targovishte,43.2467,26.5719,Bulgaria,45535
Jaltipan de Morelos,17.9703,-94.7144,Mexico,41644
Bluefields,12,-83.75,Nicaragua,45547
Bron,45.7394,4.9139,France,41543
Strumica,41.4375,22.6431,Macedonia,45087
Liberia,10.6338,-85.4333,Costa Rica,45380
Bellinzona,46.1956,9.0238,Switzerland,43220
Pattani,6.8664,101.2508,Thailand,44234
Artigas,-30.4667,-56.4667,Uruguay,40658
Penjamo,20.4311,-101.7222,Mexico,40076
Pinneberg,53.6591,9.8009,Germany,43280
Palmeira dos Indios,-9.4166,-36.6166,Brazil,41095
Gagny,48.8833,2.5333,France,39358
Newbury,51.401,-1.323,United Kingdom,41075
Oakland Park,26.178,-80.1528,United States,45202
Veles,41.7153,21.7753,Macedonia,45037
Arlington,42.4187,-71.164,United States,45147
Altadena,34.1928,-118.1345,United States,45146
Melun,48.5406,2.66,France,40032
Dunaujvaros,46.9833,18.9167,Hungary,44200
Sutton,51.3656,-0.1963,United Kingdom,41483
Jaguaquara,-13.53,-39.97,Brazil,41498
Bridgwater,51.128,-2.993,United Kingdom,41276
Kabale,-1.2496,29.98,Uganda,44600
Swidnik,51.2333,22.7,Poland,42797
Pinheiro,-2.5196,-45.09,Brazil,38893
Russas,-4.9403,-37.9758,Brazil,39465
Qiryat Bialik,32.8331,35.0664,Israel,39900
Bishops Stortford,51.872,0.1725,United Kingdom,40089
Trujillo Alto,18.3601,-66.0103,Puerto Rico,44689
Bois-Colombes,48.9175,2.2683,France,28239
Lecherias,10.1889,-64.6951,Venezuela,37829
Umm al Qaywayn,25.5653,55.5533,United Arab Emirates,44411
Duncan,48.7787,-123.7079,Canada,44451
El Aioun,34.5853,-2.5056,Morocco,41832
Kirkby,53.4826,-2.892,United Kingdom,40472
Salisbury,51.074,-1.7936,United Kingdom,40302
Boumerdes,36.7594,3.4728,Algeria,41685
North Lauderdale,26.2113,-80.2209,United States,44262
Caerphilly,51.578,-3.218,United Kingdom,41402
Tarbes,43.23,0.07,France,41518
Hackensack,40.889,-74.0461,United States,44188
Arras,50.292,2.78,France,41019
Caloundra,-26.7986,153.1289,Australia,41293
Reze,47.1833,-1.55,France,41411
Wattrelos,50.7,3.217,France,40958
Kampong Chhnang,12.25,104.6667,Cambodia,41700
Cleveland Heights,41.5112,-81.5636,United States,43992
Fort Portal,0.671,30.275,Uganda,42670
Ermezinde,41.2133,-8.5472,Portugal,38798
Haedo,-34.65,-58.6,Argentina,37745
Paracho de Verduzco,19.65,-102.0667,Mexico,37464
Stip,41.7358,22.1914,Macedonia,43652
Annandale,38.8324,-77.196,United States,43729
Drogheda,53.7139,-6.3503,Ireland,40956
Shefar`am,32.8056,35.1694,Israel,41600
Munro,-34.5333,-58.5167,Argentina,35844
Mineiros,-17.5694,-52.5511,Brazil,38951
Concord,43.2305,-71.5595,United States,43542
Uman,20.8833,-89.75,Mexico,39611
Grays,51.475,0.33,United Kingdom,36601
Remanso,-9.5996,-42.11,Brazil,37945
Abingdon,51.667,-1.283,United Kingdom,39809
Nanuque,-17.8392,-40.3539,Brazil,37824
San Diego de la Union,21.4656,-100.8736,Mexico,39663
Hodmezovasarhely,46.4303,20.3189,Hungary,43311
Ramsgate,51.336,1.416,United Kingdom,40408
Kalmar,56.6694,16.3218,Sweden,41110
Nogent-sur-Marne,48.8375,2.4833,France,32851
Rohnert Park,38.348,-122.6964,United States,43291
Zugdidi,42.5083,41.8667,Georgia,42998
Mityana,0.4004,32.05,Uganda,41131
Cacem,38.7704,-9.3081,Portugal,21289
Le Kremlin-Bicetre,48.81,2.3581,France,25334
Diamantina,-18.24,-43.61,Brazil,37343
